step,exp,game_name,algorithm_name,log_exp
0,0.7083333333333333,goofspiel_4,AutoCFRS,-0.34484048629172964
20,0.06086972375019099,goofspiel_4,AutoCFRS,-2.7990193748439047
40,0.010747242220268613,goofspiel_4,AutoCFRS,-4.533106094969308
60,0.009403136768176114,goofspiel_4,AutoCFRS,-4.666711946629081
80,0.0072117911775160855,goofspiel_4,AutoCFRS,-4.932037928924925
100,0.005850493929267521,goofspiel_4,AutoCFRS,-5.14122918894916
120,0.007398923061022118,goofspiel_4,AutoCFRS,-4.906420821657173
140,0.0017019227611778358,goofspiel_4,AutoCFRS,-6.375996631072326
160,0.0018458275350250472,goofspiel_4,AutoCFRS,-6.294827573579612
180,0.00525611819624001,goofspiel_4,AutoCFRS,-5.248362510183572
200,0.010131235375560415,goofspiel_4,AutoCFRS,-4.592132015979376
220,0.009259488582876691,goofspiel_4,AutoCFRS,-4.682106460480233
240,0.007289546128160143,goofspiel_4,AutoCFRS,-4.921313994411414
260,0.004784910459129148,goofspiel_4,AutoCFRS,-5.342287967077981
280,0.003795297035420059,goofspiel_4,AutoCFRS,-5.573992600994583
300,0.003927107363969601,goofspiel_4,AutoCFRS,-5.539852163813571
320,0.004614785561988174,goofspiel_4,AutoCFRS,-5.378489877548223
340,0.005007532620212758,goofspiel_4,AutoCFRS,-5.296811976174373
360,0.005746184952299071,goofspiel_4,AutoCFRS,-5.159219130934174
380,0.006062651785556714,goofspiel_4,AutoCFRS,-5.10560798623909
400,0.005733293695834226,goofspiel_4,AutoCFRS,-5.161465097372024
420,0.005365437060279873,goofspiel_4,AutoCFRS,-5.227777441114152
440,0.0034669086399411932,goofspiel_4,AutoCFRS,-5.664491963955789
460,0.0022795418429382873,goofspiel_4,AutoCFRS,-6.083780802287855
480,0.002987794039302883,goofspiel_4,AutoCFRS,-5.813219943370135
500,0.003807838596395667,goofspiel_4,AutoCFRS,-5.570693548351602
520,0.003839339376658246,goofspiel_4,AutoCFRS,-5.562454964511202
540,0.004043940886346114,goofspiel_4,AutoCFRS,-5.510535595550405
560,0.011529310258033543,goofspiel_4,AutoCFRS,-4.462862767996745
580,0.003420440220090627,goofspiel_4,AutoCFRS,-5.6779860168665
600,0.012253208258784445,goofspiel_4,AutoCFRS,-4.401967477604591
620,0.002003027828504795,goofspiel_4,AutoCFRS,-6.213095328982689
640,0.013653394205699556,goofspiel_4,AutoCFRS,-4.2937671285036725
660,0.001607315608709099,goofspiel_4,AutoCFRS,-6.433189815300203
680,0.010866059594453402,goofspiel_4,AutoCFRS,-4.5221111463792205
700,0.003439716988281674,goofspiel_4,AutoCFRS,-5.672366081829613
720,0.00959736132755129,goofspiel_4,AutoCFRS,-4.646267080003158
740,0.007543209962471082,goofspiel_4,AutoCFRS,-4.88710746309156
760,0.006778638191825625,goofspiel_4,AutoCFRS,-4.993979053867121
780,0.015993776533837756,goofspiel_4,AutoCFRS,-4.13555559904464
800,0.0050594975215591705,goofspiel_4,AutoCFRS,-5.286488104653425
820,0.006460000973075802,goofspiel_4,AutoCFRS,-5.042125810556709
840,0.014364003664052794,goofspiel_4,AutoCFRS,-4.2430299475325075
860,0.00393195756470366,goofspiel_4,AutoCFRS,-5.5386178690485215
880,0.007035045883437279,goofspiel_4,AutoCFRS,-4.956851066271129
900,0.011867625499814322,goofspiel_4,AutoCFRS,-4.4339411325102995
920,0.0025588887249865626,goofspiel_4,AutoCFRS,-5.968182206537911
940,0.007555384711427766,goofspiel_4,AutoCFRS,-4.885494763120694
960,0.010704195848971445,goofspiel_4,AutoCFRS,-4.537119478961384
980,0.002408021889349799,goofspiel_4,AutoCFRS,-6.028949661315334
1000,0.007945776942158329,goofspiel_4,AutoCFRS,-4.835114693698028
1020,0.00890364060957876,goofspiel_4,AutoCFRS,-4.721295028629113
1040,0.0011983981415026766,goofspiel_4,AutoCFRS,-6.726769496018045
1060,0.009136993724803177,goofspiel_4,AutoCFRS,-4.695423861755517
1080,0.007493337251958526,goofspiel_4,AutoCFRS,-4.893741019676691
1100,0.0016520129319024701,goofspiel_4,AutoCFRS,-6.40576077588586
1120,0.009423937073512672,goofspiel_4,AutoCFRS,-4.6645023293540415
1140,0.006867846909372638,goofspiel_4,AutoCFRS,-4.980904626618663
1160,0.0026082855244952937,goofspiel_4,AutoCFRS,-5.949062160658993
1180,0.009856641536948322,goofspiel_4,AutoCFRS,-4.619609783303992
1200,0.006570496694721472,goofspiel_4,AutoCFRS,-5.025165848928959
1220,0.0029401953543187385,goofspiel_4,AutoCFRS,-5.829279252791864
1240,0.008558142990420483,goofspiel_4,AutoCFRS,-4.760872052734891
1260,0.0065210098707657906,goofspiel_4,AutoCFRS,-5.032726026883245
1280,0.003638357997673264,goofspiel_4,AutoCFRS,-5.616222798649806
1300,0.010078945231531244,goofspiel_4,AutoCFRS,-4.597306661543076
1320,0.005624416850687592,goofspiel_4,AutoCFRS,-5.180638007254734
1340,0.0015522467843689261,goofspiel_4,AutoCFRS,-6.468051859314959
1360,0.008039434506025504,goofspiel_4,AutoCFRS,-4.823396533336344
1380,0.0048691769374218765,goofspiel_4,AutoCFRS,-5.324830362860432
1400,0.0022569610350779007,goofspiel_4,AutoCFRS,-6.093736045328594
1420,0.00828217862570548,goofspiel_4,AutoCFRS,-4.793649226148158
1440,0.005392731655391258,goofspiel_4,AutoCFRS,-5.222703221812121
1460,0.0027336284720826647,goofspiel_4,AutoCFRS,-5.902125441617981
1480,0.0075481745461012835,goofspiel_4,AutoCFRS,-4.8864495269285175
1500,0.0047101340678677855,goofspiel_4,AutoCFRS,-5.358038906843464
1520,0.0016752773213048265,goofspiel_4,AutoCFRS,-6.391776562451367
1540,0.0075933877094654595,goofspiel_4,AutoCFRS,-4.880477448621013
1560,0.006058675782626512,goofspiel_4,AutoCFRS,-5.106264020497787
1580,0.0009948791626728363,goofspiel_4,AutoCFRS,-6.912889272730581
1600,0.006528665458650305,goofspiel_4,AutoCFRS,-5.031552727384291
1620,0.00604302322392568,goofspiel_4,AutoCFRS,-5.108850858498123
1640,0.0006444101326638508,goofspiel_4,AutoCFRS,-7.347175182601573
1660,0.005857666994959475,goofspiel_4,AutoCFRS,-5.14000387839256
1680,0.006739332540340103,goofspiel_4,AutoCFRS,-4.999794388584808
1700,0.0014306835914230812,goofspiel_4,AutoCFRS,-6.549602912972913
1720,0.004929982693139608,goofspiel_4,AutoCFRS,-5.31241980145305
1740,0.007536799405200818,goofspiel_4,AutoCFRS,-4.887957669149146
1760,0.0017668727829584627,goofspiel_4,AutoCFRS,-6.338544084298409
1780,0.00354914315435106,goofspiel_4,AutoCFRS,-5.641049069599558
1800,0.008012165133121531,goofspiel_4,AutoCFRS,-4.826794250666858
1820,0.003621252251761358,goofspiel_4,AutoCFRS,-5.620935387062099
1840,0.0022682770815492066,goofspiel_4,AutoCFRS,-6.088734730583536
1860,0.007418718349928505,goofspiel_4,AutoCFRS,-4.903748965842388
1880,0.0033348358709979938,goofspiel_4,AutoCFRS,-5.703331814919158
1900,0.0019985918990381444,goofspiel_4,AutoCFRS,-6.215312396863051
1920,0.007309220902500079,goofspiel_4,AutoCFRS,-4.91861859058582
1940,0.0048583970566410005,goofspiel_4,AutoCFRS,-5.3270467192099655
1960,0.0013382354755097931,goofspiel_4,AutoCFRS,-6.616403342095624
1980,0.005357182621470447,goofspiel_4,AutoCFRS,-5.229317072414149
2000,0.004709917961087522,goofspiel_4,AutoCFRS,-5.358084789133633
2020,0.0005368163564099763,goofspiel_4,AutoCFRS,-7.529854502558684
2040,0.0048463755841821644,goofspiel_4,AutoCFRS,-5.32952415563273
2060,0.0061422706369787085,goofspiel_4,AutoCFRS,-5.0925607946033145
2080,0.0013890147104253833,goofspiel_4,AutoCFRS,-6.579160624606987
2100,0.00424551904958752,goofspiel_4,AutoCFRS,-5.461891193528087
2120,0.005793873076726484,goofspiel_4,AutoCFRS,-5.150954285859301
2140,0.0015541868645081477,goofspiel_4,AutoCFRS,-6.466802786834584
2160,0.003609854774498953,goofspiel_4,AutoCFRS,-5.624087736117192
2180,0.0068846058835312215,goofspiel_4,AutoCFRS,-4.978467391209561
2200,0.002595358987182009,goofspiel_4,AutoCFRS,-5.954030433904358
2220,0.0024371584710216063,goofspiel_4,AutoCFRS,-6.016922479361893
2240,0.006558214950736993,goofspiel_4,AutoCFRS,-5.027036824223242
2260,0.00280471966931766,goofspiel_4,AutoCFRS,-5.876451684638973
2280,0.0020481672742808403,goofspiel_4,AutoCFRS,-6.19080989824531
2300,0.006073150540420166,goofspiel_4,AutoCFRS,-5.103877773897036
2320,0.0036635432034086697,goofspiel_4,AutoCFRS,-5.609324511501167
2340,0.0010437649515364156,goofspiel_4,AutoCFRS,-6.8649209570764995
2360,0.005017010674063717,goofspiel_4,AutoCFRS,-5.294921005903309
2380,0.0038460590968591155,goofspiel_4,AutoCFRS,-5.5607062661355995
2400,0.0006376828286025346,goofspiel_4,AutoCFRS,-7.357669532083314
2420,0.004412726357609733,goofspiel_4,AutoCFRS,-5.4232625588634695
2440,0.004572983067253582,goofspiel_4,AutoCFRS,-5.387589537078528
2460,0.0009218806091250377,goofspiel_4,AutoCFRS,-6.9890948339799825
2480,0.0035999430620248353,goofspiel_4,AutoCFRS,-5.626837249749361
2500,0.004647841385872081,goofspiel_4,AutoCFRS,-5.371352385257474
2520,0.0007320381700792562,goofspiel_4,AutoCFRS,-7.219677900445445
2540,0.003676202133811318,goofspiel_4,AutoCFRS,-5.60587508856538
2560,0.0056048903884286655,goofspiel_4,AutoCFRS,-5.184115778683372
2580,0.00182657828069267,goofspiel_4,AutoCFRS,-6.305310854343102
2600,0.0021251827102357263,goofspiel_4,AutoCFRS,-6.153897499014535
2620,0.005931212172459192,goofspiel_4,AutoCFRS,-5.127526673293949
2640,0.0019818521855600904,goofspiel_4,AutoCFRS,-6.2237234242812365
2660,0.002051675319609912,goofspiel_4,AutoCFRS,-6.189098590503677
2680,0.0056727533435791105,goofspiel_4,AutoCFRS,-5.172080680592446
2700,0.0026342506471660875,goofspiel_4,AutoCFRS,-5.939156521810913
2720,0.0010420568365640554,goofspiel_4,AutoCFRS,-6.866558791491635
2740,0.004420294384101075,goofspiel_4,AutoCFRS,-5.421548982372594
2760,0.002736460482565804,goofspiel_4,AutoCFRS,-5.901089988352175
2780,0.0011349899086751018,goofspiel_4,AutoCFRS,-6.781131519123449
2800,0.004569476369356513,goofspiel_4,AutoCFRS,-5.38835666065033
2820,0.0035261161684352993,goofspiel_4,AutoCFRS,-5.6475582493111425
2840,0.0002313636671800038,goofspiel_4,AutoCFRS,-8.371519768583514
2860,0.003374470113383646,goofspiel_4,AutoCFRS,-5.691516970425857
2880,0.0037348222352734228,goofspiel_4,AutoCFRS,-5.590055055834306
2900,0.0004672228493036347,goofspiel_4,AutoCFRS,-7.668704220746257
2920,0.003168547278240942,goofspiel_4,AutoCFRS,-5.7544820679798665
2940,0.004612221055903314,goofspiel_4,AutoCFRS,-5.379045747129138
2960,0.0017191530853641764,goofspiel_4,AutoCFRS,-6.365923501651768
2980,0.002730519548249798,goofspiel_4,AutoCFRS,-5.9032633771778436
3000,0.005448536318594198,goofspiel_4,AutoCFRS,-5.212408271772689
3020,0.001474702252116124,goofspiel_4,AutoCFRS,-6.5192991725395455
3040,0.0025635211483623897,goofspiel_4,AutoCFRS,-5.966373516974513
3060,0.005486574960471514,goofspiel_4,AutoCFRS,-5.205451086914366
3080,0.002205622869248445,goofspiel_4,AutoCFRS,-6.116745329588618
3100,0.002195528871205525,goofspiel_4,AutoCFRS,-6.121332317875645
3120,0.004414662691841803,goofspiel_4,AutoCFRS,-5.422823848333713
3140,0.00297906345116711,goofspiel_4,AutoCFRS,-5.816146305992388
3160,0.0010800341235712053,goofspiel_4,AutoCFRS,-6.830762642445885
3180,0.004977490840683349,goofspiel_4,AutoCFRS,-5.302829362171594
3200,0.0028877178500867373,goofspiel_4,AutoCFRS,-5.84728876006264
3220,0.0010250082383471944,goofspiel_4,AutoCFRS,-6.883054629012168
3240,0.003324109037528975,goofspiel_4,AutoCFRS,-5.706553599419553
3260,0.0035304419389636356,goofspiel_4,AutoCFRS,-5.646332220699359
3280,0.0005368300820466757,goofspiel_4,AutoCFRS,-7.529828934296715
3300,0.0034842360609777484,goofspiel_4,AutoCFRS,-5.659506466553055
3320,0.0040142194794257685,goofspiel_4,AutoCFRS,-5.517912351621049
3340,0.0007724843439433515,goofspiel_4,AutoCFRS,-7.165898816137744
3360,0.0023878576856897356,goofspiel_4,AutoCFRS,-6.037358680834983
3380,0.0041458987701558595,goofspiel_4,AutoCFRS,-5.4856356815339105
3400,0.0016762642966871343,goofspiel_4,AutoCFRS,-6.391187594434058
3420,0.002339104255342886,goofspiel_4,AutoCFRS,-6.057987219759963
3440,0.00433636341179675,goofspiel_4,AutoCFRS,-5.440719205673126
3460,0.001558089322441864,goofspiel_4,AutoCFRS,-6.464295001699519
3480,0.002194521695460579,goofspiel_4,AutoCFRS,-6.121791162596142
3500,0.00415427375810097,goofspiel_4,AutoCFRS,-5.483617653412491
3520,0.002448854264701924,goofspiel_4,AutoCFRS,-6.012135010866929
3540,0.0015863850609983557,goofspiel_4,AutoCFRS,-6.446297397722874
3560,0.004327868982626642,goofspiel_4,AutoCFRS,-5.4426800099325225
3580,0.002350880694835755,goofspiel_4,AutoCFRS,-6.052965257272572
3600,0.0005452539614048993,goofspiel_4,AutoCFRS,-7.514258887608792
3620,0.0034548626525103135,goofspiel_4,AutoCFRS,-5.667972575805851
3640,0.002916675914010968,goofspiel_4,AutoCFRS,-5.8373106967677035
3660,0.0009042130649663741,goofspiel_4,AutoCFRS,-7.008445534008452
3680,0.0032391694831886784,goofspiel_4,AutoCFRS,-5.732438314385824
3700,0.0029621405240036415,goofspiel_4,AutoCFRS,-5.821843121991912
3720,0.0004482121882241551,goofspiel_4,AutoCFRS,-7.710243803249753
3740,0.0026617933425262036,goofspiel_4,AutoCFRS,-5.928755194432159
3760,0.0036688452120061895,goofspiel_4,AutoCFRS,-5.6078783225593885
3780,0.0008558248245712869,goofspiel_4,AutoCFRS,-7.063444846957434
3800,0.0021967214309874744,goofspiel_4,AutoCFRS,-6.120789288799792
3820,0.0036371530955197242,goofspiel_4,AutoCFRS,-5.616554019961717
3840,0.0013761889558362205,goofspiel_4,AutoCFRS,-6.588437226343471
3860,0.0020320419721844584,goofspiel_4,AutoCFRS,-6.198714093876638
3880,0.00424931929455243,goofspiel_4,AutoCFRS,-5.460996474861417
3900,0.0015201745699590962,goofspiel_4,AutoCFRS,-6.488930102061254
3920,0.0013528530891701257,goofspiel_4,AutoCFRS,-6.605539517233511
3940,0.0038143578353130466,goofspiel_4,AutoCFRS,-5.568982954675496
3960,0.002112621168394447,goofspiel_4,AutoCFRS,-6.159825842557986
3980,0.0012686210751239042,goofspiel_4,AutoCFRS,-6.669824736003286
4000,0.0034193843283505127,goofspiel_4,AutoCFRS,-5.678294765063482
4020,0.001964235815579088,goofspiel_4,AutoCFRS,-6.23265200722545
4040,0.0006226980895142823,goofspiel_4,AutoCFRS,-7.381448764158212
4060,0.0032285702180818265,goofspiel_4,AutoCFRS,-5.735715896689688
4080,0.002982020429420839,goofspiel_4,AutoCFRS,-5.815154211750637
4100,0.0006589196043249964,goofspiel_4,AutoCFRS,-7.324909027375875
4120,0.002613539836357057,goofspiel_4,AutoCFRS,-5.947049717395588
4140,0.0026000570399760557,goofspiel_4,AutoCFRS,-5.9522218957430155
4160,0.00027051071622335976,goofspiel_4,AutoCFRS,-8.215198844109914
4180,0.002448282701678401,goofspiel_4,AutoCFRS,-6.012368438287908
4200,0.0035841502600622143,goofspiel_4,AutoCFRS,-5.631233859507718
4220,0.001054107016739024,goofspiel_4,AutoCFRS,-6.855061300109193
4240,0.0016223299790004476,goofspiel_4,AutoCFRS,-6.423891904398901
4260,0.0032158868651912744,goofspiel_4,AutoCFRS,-5.73965210701826
4280,0.001179738060326036,goofspiel_4,AutoCFRS,-6.742462847920932
4300,0.001953174930795699,goofspiel_4,AutoCFRS,-6.2382990607988775
4320,0.004176258178794022,goofspiel_4,AutoCFRS,-5.478339605888995
4340,0.0017136573566459107,goofspiel_4,AutoCFRS,-6.369125387398925
4360,0.0009402074758785698,goofspiel_4,AutoCFRS,-6.969409988035329
4380,0.00310373029628435,goofspiel_4,AutoCFRS,-5.77515056951989
4400,0.0017763786752215947,goofspiel_4,AutoCFRS,-6.333178439109715
4420,0.0012151110564159863,goofspiel_4,AutoCFRS,-6.712919801909156
4440,0.0031613866762987327,goofspiel_4,AutoCFRS,-5.75674452602384
4460,0.0020625115866908473,goofspiel_4,AutoCFRS,-6.183830821981716
4480,0.0002766735860392735,goofspiel_4,AutoCFRS,-8.192672136373973
4500,0.002462876013304601,goofspiel_4,AutoCFRS,-6.006425500816627
4520,0.0022786970713183615,goofspiel_4,AutoCFRS,-6.084151459309344
4540,0.0002891626916554831,goofspiel_4,AutoCFRS,-8.148521081342222
