step,exp,game_name,algorithm_name,log_exp
0,0.7083333333333333,goofspiel_4,DCFRPlus,-0.34484048629172964
20,0.055945969181269234,goofspiel_4,DCFRPlus,-2.88336889004966
40,0.022815695428296978,goofspiel_4,DCFRPlus,-3.7803065838796304
60,0.008948123944155239,goofspiel_4,DCFRPlus,-4.71631138384589
80,0.005343357055244229,goofspiel_4,DCFRPlus,-5.2319011615044735
100,0.0012692210400157156,goofspiel_4,DCFRPlus,-6.669351921008682
120,0.00254716084937942,goofspiel_4,DCFRPlus,-5.972775932493803
140,0.004422219702802404,goofspiel_4,DCFRPlus,-5.421113513746176
160,0.0008889507045546512,goofspiel_4,DCFRPlus,-7.025468774432514
180,0.002428738814646187,goofspiel_4,DCFRPlus,-6.02038316267852
200,0.0012417666998264952,goofspiel_4,DCFRPlus,-6.691220155445144
220,0.0013088051397762283,goofspiel_4,DCFRPlus,-6.638640665032864
240,0.0012608577937737648,goofspiel_4,DCFRPlus,-6.675963000940924
260,0.0012284108902060518,goofspiel_4,DCFRPlus,-6.7020339040786725
280,0.0006113997426174497,goofspiel_4,DCFRPlus,-7.39975956948007
300,0.0004358755226738962,goofspiel_4,DCFRPlus,-7.738153853832048
320,0.0004843856975754882,goofspiel_4,DCFRPlus,-7.632629072783403
340,0.0007063609725506183,goofspiel_4,DCFRPlus,-7.255384158571923
360,0.0007885293160749092,goofspiel_4,DCFRPlus,-7.145340972702661
380,0.0007812058763763751,goofspiel_4,DCFRPlus,-7.154671836746859
400,0.0007341744866375135,goofspiel_4,DCFRPlus,-7.216763837386136
420,0.0006797668084012773,goofspiel_4,DCFRPlus,-7.293760747429308
440,0.0006145834408365884,goofspiel_4,DCFRPlus,-7.394565851623718
460,0.0005371554291980381,goofspiel_4,DCFRPlus,-7.52922306548767
480,0.00043671723774683284,goofspiel_4,DCFRPlus,-7.736224625508868
500,0.0003070495409227898,goofspiel_4,DCFRPlus,-8.088501452311984
520,0.00017094682287381366,goofspiel_4,DCFRPlus,-8.674158027171215
540,0.00013764608330183044,goofspiel_4,DCFRPlus,-8.890824780817312
560,0.00015873256362051823,goofspiel_4,DCFRPlus,-8.74828976168513
580,0.0002918834051337304,goofspiel_4,DCFRPlus,-8.139156132923686
600,0.0003515615382213808,goofspiel_4,DCFRPlus,-7.953125788861027
620,0.00029657789955411936,goofspiel_4,DCFRPlus,-8.123200643666049
640,0.00016381913972473582,goofspiel_4,DCFRPlus,-8.716747545235156
660,0.0001277047098892187,goofspiel_4,DCFRPlus,-8.965789913153152
680,0.00020202502528033337,goofspiel_4,DCFRPlus,-8.507118980710093
700,0.0002519938443010395,goofspiel_4,DCFRPlus,-8.286105898128032
720,0.00016689572108150312,goofspiel_4,DCFRPlus,-8.69814136524345
740,0.00013487085288738812,goofspiel_4,DCFRPlus,-8.911192882681586
760,0.00015892898249624207,goofspiel_4,DCFRPlus,-8.747053106489329
780,0.00019316908696371873,goofspiel_4,DCFRPlus,-8.551944654351855
800,0.00015046115079904278,goofspiel_4,DCFRPlus,-8.801805641323346
820,0.00010356554111776988,goofspiel_4,DCFRPlus,-9.175305898160769
840,0.0001543661883755044,goofspiel_4,DCFRPlus,-8.77618293156008
860,0.00014297619155647124,goofspiel_4,DCFRPlus,-8.85283243417789
880,0.00011363009012454984,goofspiel_4,DCFRPlus,-9.082562208894217
900,0.00012449130224224912,goofspiel_4,DCFRPlus,-8.99127470600798
920,0.00013381886608994348,goofspiel_4,DCFRPlus,-8.919023418043025
940,0.00010487903261677446,goofspiel_4,DCFRPlus,-9.162702942266334
960,0.00010831313405070802,goofspiel_4,DCFRPlus,-9.130484136604066
980,0.00012971530598494054,goofspiel_4,DCFRPlus,-8.950168462926557
1000,7.72683358137258e-05,goofspiel_4,DCFRPlus,-9.468226313539105
1020,9.839183283658098e-05,goofspiel_4,DCFRPlus,-9.226552756978968
1040,0.00011937547904532239,goofspiel_4,DCFRPlus,-9.033236746226322
1060,7.068065907300686e-05,goofspiel_4,DCFRPlus,-9.557338585810825
1080,0.00010605628575657635,goofspiel_4,DCFRPlus,-9.15154060707805
1100,8.627138241281768e-05,goofspiel_4,DCFRPlus,-9.358012620745246
1120,7.666322248434092e-05,goofspiel_4,DCFRPlus,-9.4760884628356
1140,0.00010872949796042555,goofspiel_4,DCFRPlus,-9.126647430270292
1160,5.737076670537233e-05,goofspiel_4,DCFRPlus,-9.76597567521856
1180,0.00010057643432296797,goofspiel_4,DCFRPlus,-9.204592579002492
1200,5.9732189863113455e-05,goofspiel_4,DCFRPlus,-9.725639489191408
1220,6.976283140861661e-05,goofspiel_4,DCFRPlus,-9.570409191334338
1240,8.440497784273306e-05,goofspiel_4,DCFRPlus,-9.379884178922264
1260,5.698333149795464e-05,goofspiel_4,DCFRPlus,-9.772751762756117
1280,9.307520485109166e-05,goofspiel_4,DCFRPlus,-9.282102737282944
1300,4.6808676552201824e-05,goofspiel_4,DCFRPlus,-9.969441975809895
1320,9.072643841913396e-05,goofspiel_4,DCFRPlus,-9.307661750274551
1340,3.813906742744782e-05,goofspiel_4,DCFRPlus,-10.174271409390157
1360,8.197835709404354e-05,goofspiel_4,DCFRPlus,-9.40905528341527
1380,3.942509514480127e-05,goofspiel_4,DCFRPlus,-10.1411080118067
1400,7.074141478686588e-05,goofspiel_4,DCFRPlus,-9.5564793745726
1420,4.935910985949083e-05,goofspiel_4,DCFRPlus,-9.916388212170535
1440,6.004549809826373e-05,goofspiel_4,DCFRPlus,-9.720407981469867
1460,5.4377216592012566e-05,goofspiel_4,DCFRPlus,-9.819565304475717
1480,5.1804669898871896e-05,goofspiel_4,DCFRPlus,-9.868030260274454
1500,5.6082854796388196e-05,goofspiel_4,DCFRPlus,-9.788680410749212
1520,4.6333770670334344e-05,goofspiel_4,DCFRPlus,-9.979639474618159
1540,5.518157583528108e-05,goofspiel_4,DCFRPlus,-9.804881431495176
1560,4.388331450557741e-05,goofspiel_4,DCFRPlus,-10.03397638973131
1580,5.2498949092882435e-05,goofspiel_4,DCFRPlus,-9.854717405845474
1600,4.377073792872343e-05,goofspiel_4,DCFRPlus,-10.036545047668415
1620,4.807152117874096e-05,goofspiel_4,DCFRPlus,-9.942820631484397
1640,4.572520703915472e-05,goofspiel_4,DCFRPlus,-9.992860835777318
1660,4.21087388396582e-05,goofspiel_4,DCFRPlus,-10.075255265427758
1680,4.879065532612807e-05,goofspiel_4,DCFRPlus,-9.92797175266026
1700,3.430934832407793e-05,goofspiel_4,DCFRPlus,-10.28009269503478
1720,5.219269991827988e-05,goofspiel_4,DCFRPlus,-9.860567921164183
1740,2.4724247014165188e-05,goofspiel_4,DCFRPlus,-10.60772613535139
1760,5.462358941232408e-05,goofspiel_4,DCFRPlus,-9.815044727997291
1780,2.463219763191513e-05,goofspiel_4,DCFRPlus,-10.611456123993491
1800,5.4889838396106645e-05,goofspiel_4,DCFRPlus,-9.810182319547698
1820,2.7086016634531613e-05,goofspiel_4,DCFRPlus,-10.516492954593662
